username,comment,comment_cleansing
@sitinurhidayah2359,"['indonesia', 'enggak', 'hancur', 'sda', 'limpah', 'rakyat', 'miskn', 'phk', 'cari', 'kerja', 'susah', 'loh']",indonesia enggak hancur sda limpah rakyat miskn phk cari kerja susah loh
@Hawaniamaharani-r6y,"['miskin', 'hukum', 'mati', 'sampah']",miskin hukum mati sampah
@solehasolihin3131,"['rugi', 'negara', 'rugi', 'rakyat', 'indonesia']",rugi negara rugi rakyat indonesia
@faridahrochaeni1954,"['orang', 'beli', 'bensin', 'cuman', 'sedih', 'lihat', 'kasih', 'takut', 'hal', 'tir', 'lihat']",orang beli bensin cuman sedih lihat kasih takut hal tir lihat
@aliwaha1918,"['enggak', 'sopan', 'tangkap']",enggak sopan tangkap
@ayenyt17,"['korupsi', 'titip', 'vendor', 'kah', 'pt', 'swasta']",korupsi titip vendor kah pt swasta
@Jaka-kc4vk,"['sampah', 'negara', 'gene', 'biar', 'malu', 'enggak', 'kasi', 'pakai', 'masker', 'zoom', 'wajah', 'indonesia', 'khianat', 'gene', 'miskin', 'hukum', 'mati']",sampah negara gene biar malu enggak kasi pakai masker zoom wajah indonesia khianat gene miskin hukum mati
@Love4allkind,"['semboyan', 'akhlak', 'laku', 'maling', 'enggak', 'terima', 'bilang', 'gelap', 'hidup', 'ndasmu']",semboyan akhlak laku maling enggak terima bilang gelap hidup ndasmu
@warungmamarava2930,"['hebat', 'jagung', 'kpk', 'nih']",hebat jagung kpk nih
@Zaskia5380,"['rugi', 'rakyat', 'beli', 'pertamax', 'harga', 'mahal', 'isi', 'pertalite', 'indonesia', 'terap', 'hukum', 'mati', 'koruptor']",rugi rakyat beli pertamax harga mahal isi pertalite indonesia terap hukum mati koruptor
@juliananapitupulu3493,"['cocok', 'koruptor', 'gantung']",cocok koruptor gantung
@steveholt3513,"['salah', 'jabat', 'indonesia']",salah jabat indonesia
@Elin-m9h,"['orang', 'tamak', 'serakah']",orang tamak serakah
